module,address,name,confidence,evidence
Swing_DLL.xex,887b1468,RegisterOnlineScriptCommands,high,direct_script_registration_table
Swing_DLL.xex,88794fe8,Script_TitleServer_GetPatch,high,direct_TitleServer_GetPatch_registration
Swing_DLL.xex,88795020,Script_TitleServer_Login,high,direct_TitleServer_Login_registration
Swing_DLL.xex,88792820,Script_TitleServer_Logout,high,direct_TitleServer_Logout_registration
Swing_DLL.xex,88794ed8,Script_TitleServer_QueryRoundInfo,high,direct_TitleServer_QueryRoundInfo_registration
Swing_DLL.xex,887926d8,Script_TitleServer_DownloadPlayerInfo,high,direct_TitleServer_DownloadPlayerInfo_registration
Swing_DLL.xex,88792638,Script_TitleServer_LoginUserOnly,high,direct_TitleServer_LoginUserOnly_registration
Swing_DLL.xex,887ecbd0,RegisterPatchServices,high,direct_service_registration_table
Swing_DLL.xex,887eba48,RegisterCPatchManagerService,high,direct_CPatchManager_registration
Swing_DLL.xex,889b39a0,CTitleServer_RequestPatch,medium,called_by_Script_TitleServer_GetPatch
Swing_DLL.xex,889b5a30,CTitleServer_QueueRequest,medium,request_queue_behavior
Swing_DLL.xex,889c0298,CTitleServer_BuildProtocolMessage,medium,protocol_object_switch
Swing_DLL.xex,889b1bb8,CTitleServer_ProcessPatchTransfer,medium,TempPatch_transfer_path
Swing_DLL.xex,887eaa98,CPatchManager_GetSerializedSize,medium,size_calculation_for_patch_archive
Swing_DLL.xex,887ebaf8,CPatchManager_Serialize,medium,writes_patch_state_to_stream
Swing_DLL.xex,887ef7c0,CPatchManager_DeserializePayload,medium,reads_header_and_patch_payload
Swing_DLL.xex,887ed9f0,CPatchManager_Reset,medium,releases_current_patch_state
Swing_DLL.xex,887ef2d8,CPatchManager_FinalizeLoad,medium,post_deserialization_activation
